# E (eV)   doscond(E)
   -3.666666667    0.422178731
   -3.657657658    0.425537691
   -3.648648649    0.431654287
   -3.639639640    0.444122668
   -3.630630631    0.475905292
   -3.621621622    0.626300364
   -3.612612613    0.035697582
   -3.603603604    0.014741228
   -3.594594595    0.031039848
   -3.585585586    0.653294062
   -3.576576577    0.476631550
   -3.567567568    0.441529344
   -3.558558559    0.427461130
   -3.549549550    0.420138029
   -3.540540541    0.415705976
   -3.531531532    0.412733615
   -3.522522523    0.410582240
   -3.513513514    0.408929823
   -3.504504505    0.407599039
   -3.495495495    0.406485472
   -3.486486486    0.405524293
   -3.477477477    0.404673482
   -3.468468468    0.403904817
   -3.459459459    0.403198765
   -3.450450450    0.402541452
   -3.441441441    0.401922803
   -3.432432432    0.401335359
   -3.423423423    0.400773499
   -3.414414414    0.400232926
   -3.405405405    0.399710304
   -3.396396396    0.399203019
   -3.387387387    0.398708991
   -3.378378378    0.398226556
   -3.369369369    0.397754364
   -3.360360360    0.397291316
   -3.351351351    0.396836505
   -3.342342342    0.396389182
   -3.333333333    0.395948721
   -3.324324324    0.395514595
   -3.315315315    0.395086362
   -3.306306306    0.394663645
   -3.297297297    0.394246122
   -3.288288288    0.393833518
   -3.279279279    0.393425596
   -3.270270270    0.393022151
   -3.261261261    0.392623003
   -3.252252252    0.392227998
   -3.243243243    0.391837000
   -3.234234234    0.391449889
   -3.225225225    0.391066561
   -3.216216216    0.390686921
   -3.207207207    0.390310888
   -3.198198198    0.389938389
   -3.189189189    0.389569358
   -3.180180180    0.389203736
   -3.171171171    0.388841472
   -3.162162162    0.388482519
   -3.153153153    0.388126834
   -3.144144144    0.387774379
   -3.135135135    0.387425121
   -3.126126126    0.387079028
   -3.117117117    0.386736073
   -3.108108108    0.386396229
   -3.099099099    0.386059475
   -3.090090090    0.385725789
   -3.081081081    0.385395153
   -3.072072072    0.385067549
   -3.063063063    0.384742963
   -3.054054054    0.384421381
   -3.045045045    0.384102791
   -3.036036036    0.383787181
   -3.027027027    0.383474542
   -3.018018018    0.383164866
   -3.009009009    0.382858146
   -3.000000000    0.382554374
   -2.990990991    0.382253547
   -2.981981982    0.381955660
   -2.972972973    0.381660709
   -2.963963964    0.381368693
   -2.954954955    0.381079611
   -2.945945946    0.380793462
   -2.936936937    0.380510246
   -2.927927928    0.380229966
   -2.918918919    0.379952625
   -2.909909910    0.379678224
   -2.900900901    0.379406770
   -2.891891892    0.379138267
   -2.882882883    0.378872722
   -2.873873874    0.378610141
   -2.864864865    0.378350535
   -2.855855856    0.378093911
   -2.846846847    0.377840280
   -2.837837838    0.377589654
   -2.828828829    0.377342045
   -2.819819820    0.377097468
   -2.810810811    0.376855936
   -2.801801802    0.376617467
   -2.792792793    0.376382076
   -2.783783784    0.376149784
   -2.774774775    0.375920609
   -2.765765766    0.375694573
   -2.756756757    0.375471698
   -2.747747748    0.375252009
   -2.738738739    0.375035530
   -2.729729730    0.374822288
   -2.720720721    0.374612312
   -2.711711712    0.374405632
   -2.702702703    0.374202279
   -2.693693694    0.374002286
   -2.684684685    0.373805690
   -2.675675676    0.373612525
   -2.666666667    0.373422832
   -2.657657658    0.373236650
   -2.648648649    0.373054021
   -2.639639640    0.372874992
   -2.630630631    0.372699607
   -2.621621622    0.372527916
   -2.612612613    0.372359969
   -2.603603604    0.372195820
   -2.594594595    0.372035525
   -2.585585586    0.371879140
   -2.576576577    0.371726727
   -2.567567568    0.371578349
   -2.558558559    0.371434072
   -2.549549550    0.371293963
   -2.540540541    0.371158094
   -2.531531532    0.371026540
   -2.522522523    0.370899377
   -2.513513514    0.370776687
   -2.504504505    0.370658551
   -2.495495495    0.370545058
   -2.486486486    0.370436297
   -2.477477477    0.370332363
   -2.468468468    0.370233352
   -2.459459459    0.370139367
   -2.450450450    0.370050512
   -2.441441441    0.369966896
   -2.432432432    0.369888633
   -2.423423423    0.369815841
