    44   -98.62424671   -52.68807941   -52.61975989   -52.61932035    -8.56434410    -4.64876193    -2.92904854    -2.92731405    -2.62010497    -1.26298157     5.29837161     5.30059929     5.30388038     5.30480452     5.30494258     5.30496394     5.30513941     5.30624660     5.30723449
    45   -98.63051953   -52.69564524   -52.62160427   -52.62143252    -8.49692258    -4.68285821    -2.89211717    -2.89158479    -2.65107077    -1.24606129     5.30281848     5.30358171     5.30449682     5.30486917     5.30489420     5.30492091     5.30502248     5.30528044     5.30568224
    46   -98.63857233   -52.70307443   -52.62371650   -52.62347736    -8.42818385    -4.71719637    -2.85510951    -2.85450300    -2.68141296    -1.22889413     5.30394505     5.30455719     5.30470794     5.30491553     5.30493523     5.30506929     5.30552067     5.30650542     5.30742440
    47   -98.64744181   -52.71017824   -52.62612144   -52.62538312    -8.35872916    -4.75172894    -2.81780687    -2.81623081    -2.71105478    -1.21148644     5.30203246     5.30411219     5.30411678     5.30489502     5.30497279     5.30555328     5.30672173     5.30942878     5.31178010
    48   -98.65588400   -52.71684432   -52.62857207   -52.62732236    -8.28923148    -4.78640220    -2.77961348    -2.77731699    -2.73992071    -1.19384598     5.30005237     5.30332500     5.30392668     5.30484162     5.30504093     5.30616913     5.30770952     5.31239657     5.31551106
    49   -98.66260697   -52.72302758   -52.63098377   -52.62929224    -8.22033532    -4.82115899    -2.76792976    -2.74049290    -2.73777051    -1.17598221     5.29818859     5.30245902     5.30390810     5.30477244     5.30513381     5.30670422     5.30831049     5.31521638     5.31831106
    50   -98.66653343   -52.72872884   -52.63327989   -52.63128643    -8.15255818    -4.85594242    -2.79498910    -2.70044101    -2.69759487    -1.15790629     5.29665019     5.30162418     5.30397416     5.30470685     5.30523054     5.30688825     5.30866273     5.31750379     5.31996767
    51   -98.66702975   -52.73396964   -52.63540709   -52.63329614    -8.08621532    -4.89070010    -2.82098966    -2.65948635    -2.65679024    -1.13963064     5.29561127     5.30094032     5.30406162     5.30466125     5.30529984     5.30662762     5.30890190     5.31886464     5.32037927
    52   -98.66404432   -52.73877197   -52.63734466   -52.63531208    -8.02138460    -4.92538848    -2.84580444    -2.61768566    -2.61535531    -1.12116831     5.29517778     5.30056299     5.30414149     5.30464693     5.30531421     5.30614068     5.30893224     5.31902361     5.31956243
    53   -98.65811956   -52.74314885   -52.63910589   -52.63732715    -7.95791889    -4.95997663    -2.86928967    -2.57511496    -2.57328878    -1.10253222     5.29541924     5.30066371     5.30421332     5.30466771     5.30526668     5.30566123     5.30864145     5.31764740     5.31788300
    54   -98.65027321   -52.74710797   -52.64073143   -52.63933919    -7.89550301    -4.99444866    -2.89128795    -2.53185783    -2.53059021    -1.08373461     5.29645370     5.30132468     5.30429729     5.30471873     5.30517471     5.30530228     5.30799911     5.31486040     5.31553101
    55   -98.64177762   -52.75066628   -52.64227709   -52.64135303    -7.83374169    -5.02880431    -2.91163203    -2.48799305    -2.48726060    -1.06478664     5.29846627     5.30244991     5.30442801     5.30478858     5.30506865     5.30507986     5.30705066     5.31149321     5.31221465
    56   -98.63389063   -52.75386932   -52.64379982   -52.64338079    -7.77225852    -5.06305708    -2.93014820    -2.44358392    -2.44330282    -1.04569828     5.30158619     5.30380957     5.30464706     5.30486287     5.30496311     5.30497516     5.30590276     5.30786478     5.30829138
    57   -98.62760277   -52.75680807   -52.64543937   -52.64534667    -7.71078407    -5.09723021    -2.94665808    -2.39872212    -2.39867146    -1.02647855     5.30417294     5.30428187     5.30470238     5.30490682     5.30491100     5.30492802     5.30498979     5.30514933     5.30573648
