67	 0.56999	 0.70389	 0.11291	 0.09358	 0.00481	 0.00500	 0.08316	 0.06804	 0.10654	 0.09913	-0.80912	-0.83223
68	 0.62550	 0.76467	 0.11438	 0.09510	 0.00565	 0.00636	 0.08612	 0.07059	 0.11199	 0.10440	-0.76439	-0.78614
69	 0.67836	 0.82206	 0.11483	 0.09579	 0.00653	 0.00776	 0.08877	 0.07295	 0.11710	 0.10937	-0.72080	-0.73882
70	 0.72796	 0.87543	 0.11427	 0.09564	 0.00745	 0.00921	 0.09113	 0.07514	 0.12188	 0.11402	-0.67839	-0.69046
71	 0.77374	 0.92420	 0.11273	 0.09466	 0.00839	 0.01068	 0.09321	 0.07716	 0.12630	 0.11834	-0.63715	-0.64122
72	 0.81522	 0.96790	 0.11024	 0.09289	 0.00937	 0.01215	 0.09501	 0.07903	 0.13036	 0.12232	-0.59711	-0.59119
73	 0.85330	 1.00747	 0.10670	 0.09024	 0.01041	 0.01368	 0.09659	 0.08079	 0.13418	 0.12607	-0.55681	-0.53852
74	 0.88483	 1.03964	 0.10243	 0.08696	 0.01143	 0.01513	 0.09785	 0.08234	 0.13747	 0.12930	-0.51925	-0.48729
75	 0.91104	 1.06575	 0.09739	 0.08300	 0.01248	 0.01656	 0.09885	 0.08372	 0.14036	 0.13216	-0.48293	-0.43591
76	 0.93175	 1.08562	 0.09164	 0.07845	 0.01354	 0.01793	 0.09960	 0.08495	 0.14286	 0.13463	-0.44785	-0.38491
77	 0.94684	 1.09917	 0.08529	 0.07335	 0.01461	 0.01926	 0.10009	 0.08601	 0.14494	 0.13670	-0.41403	-0.33517
78	 0.95626	 1.10635	 0.07841	 0.06780	 0.01568	 0.02051	 0.10034	 0.08689	 0.14660	 0.13839	-0.38147	-0.28786
79	 0.96006	 1.10714	 0.07083	 0.06164	 0.01680	 0.02173	 0.10034	 0.08760	 0.14785	 0.13972	-0.34899	-0.24279
80	 0.95802	 1.10158	 0.06319	 0.05540	 0.01788	 0.02281	 0.10010	 0.08806	 0.14857	 0.14062	-0.31900	-0.20462
81	 0.95053	 1.09001	 0.05535	 0.04897	 0.01894	 0.02378	 0.09833	 0.08959	 0.14873	 0.14119	-0.29026	-0.17246
82	 0.93778	 1.07264	 0.04739	 0.04244	 0.01998	 0.02464	 0.08926	 0.09791	 0.14817	 0.14160	-0.26276	-0.14653
83	 0.91999	 1.04977	 0.03941	 0.03589	 0.02101	 0.02536	 0.08869	 0.09723	 0.14639	 0.14232	-0.23648	-0.12646
84	 0.89744	 1.02170	 0.03155	 0.02941	 0.02202	 0.02592	 0.08816	 0.09596	 0.14282	 0.14389	-0.21140	-0.11142
85	 0.87044	 0.98880	 0.02405	 0.02293	 0.02303	 0.02628	 0.08741	 0.09436	 0.13896	 0.14479	-0.18750	-0.10043
86	 0.83932	 0.95146	 0.01723	 0.01631	 0.02409	 0.02637	 0.08637	 0.09244	 0.13592	 0.14389	-0.16472	-0.09251
87	 0.80164	 0.90677	 0.01067	 0.00920	 0.02551	 0.02590	 0.08490	 0.09004	 0.13278	 0.14167	-0.14142	-0.08641
88	 0.76318	 0.86159	 0.00516	 0.00293	 0.02765	 0.02437	 0.08319	 0.08749	 0.12954	 0.13883	-0.12087	-0.08224
89	 0.72179	 0.81332	 0.00017	-0.00283	 0.02925	 0.02307	 0.08112	 0.08462	 0.12587	 0.13538	-0.10132	-0.07891
90	 0.67789	 0.76243	-0.00429	-0.00798	 0.02876	 0.02354	 0.07868	 0.08144	 0.12170	 0.13132	-0.08271	-0.07599
91	 0.63190	 0.70940	-0.00816	-0.01245	 0.02798	 0.02393	 0.07585	 0.07793	 0.11701	 0.12666	-0.06500	-0.07313
92	 0.58423	 0.65469	-0.01141	-0.01618	 0.02714	 0.02401	 0.07261	 0.07411	 0.11179	 0.12138	-0.04813	-0.07007
93	 0.53530	 0.59875	-0.01403	-0.01914	 0.02616	 0.02380	 0.06897	 0.06995	 0.10601	 0.11548	-0.03204	-0.06666
94	 0.48551	 0.54205	-0.01598	-0.02131	 0.02502	 0.02333	 0.06490	 0.06547	 0.09968	 0.10894	-0.01670	-0.06282
95	 0.43526	 0.48501	-0.01726	-0.02267	 0.02369	 0.02258	 0.06041	 0.06067	 0.09278	 0.10173	-0.00204	-0.05853
96	 0.38493	 0.42804	-0.01786	-0.02322	 0.02215	 0.02155	 0.05549	 0.05554	 0.08530	 0.09385	 0.01198	-0.05386
97	 0.33487	 0.37153	-0.01780	-0.02296	 0.02039	 0.02022	 0.05017	 0.05009	 0.07726	 0.08529	 0.02539	-0.04889
98	 0.28544	 0.31584	-0.01710	-0.02194	 0.01840	 0.01858	 0.04444	 0.04431	 0.06864	 0.07603	 0.03823	-0.04376
99	 0.23328	 0.25717	-0.01566	-0.02000	 0.01601	 0.01645	 0.03785	 0.03775	 0.05871	 0.06527	 0.05145	-0.03824
100	 0.18616	 0.20418	-0.01372	-0.01747	 0.01354	 0.01412	 0.03136	 0.03132	 0.04890	 0.05455	 0.06319	-0.03326
101	 0.14060	 0.15291	-0.01126	-0.01431	 0.01084	 0.01145	 0.02454	 0.02458	 0.03853	 0.04312	 0.07443	-0.02854
102	 0.09678	 0.10365	-0.00834	-0.01056	 0.00789	 0.00841	 0.01744	 0.01754	 0.02760	 0.03098	 0.08518	-0.02416
103	 0.05446	 0.05704	-0.00503	-0.00628	 0.00469	 0.00503	 0.01009	 0.01022	 0.01616	 0.01812	 0.09545	-0.02017
104	 0.01335	 0.01374	-0.00138	-0.00156	 0.00122	 0.00131	 0.00254	 0.00261	 0.00439	 0.00438	 0.10522	-0.01653
105	-0.02591	-0.02662	 0.00276	 0.00330	-0.00251	-0.00276	-0.00515	-0.00528	-0.00864	-0.00928	-0.08666	-0.01689
106	-0.06239	-0.06472	 0.00685	 0.00866	-0.00641	-0.00724	-0.01301	-0.01334	-0.02141	-0.02432	-0.04967	 0.01389
107	-0.09589	-0.10061	 0.01112	 0.01414	-0.01051	-0.01211	-0.02097	-0.02158	-0.03487	-0.03976	-0.01575	 0.03994
108	-0.12661	-0.13394	 0.01544	 0.01969	-0.01480	-0.01736	-0.02897	-0.02996	-0.04877	-0.05576	 0.01565	 0.05923
109	-0.15475	-0.16446	 0.01974	 0.02524	-0.01928	-0.02296	-0.03698	-0.03842	-0.06307	-0.07230	 0.04466	 0.07003
110	-0.18040	-0.19207	 0.02393	 0.03070	-0.02394	-0.02890	-0.04497	-0.04692	-0.07773	-0.08934	 0.05936	 0.08281
111	-0.20530	-0.21852	 0.02824	 0.03636	-0.02912	-0.03567	-0.05348	-0.05605	-0.09388	-0.10820	 0.05959	 0.09762
112	-0.22594	-0.24005	 0.03198	 0.04135	-0.03406	-0.04227	-0.06125	-0.06443	-0.10916	-0.12611	 0.05572	 0.10287
113	-0.24431	-0.25868	 0.03541	 0.04600	-0.03911	-0.04915	-0.06884	-0.07267	-0.12467	-0.14437	 0.04900	 0.10169
114	-0.26052	-0.27442	 0.03846	 0.05023	-0.04425	-0.05628	-0.07621	-0.08071	-0.14036	-0.16289	 0.04086	 0.09648
115	-0.27477	-0.28726	 0.04109	 0.05398	-0.04945	-0.06363	-0.08329	-0.08847	-0.15617	-0.18162	 0.03287	 0.08917
116	-0.28724	-0.29721	 0.04324	 0.05720	-0.05470	-0.07114	-0.09004	-0.09589	-0.17206	-0.20050	 0.02590	 0.08143
117	-0.29808	-0.30434	 0.04489	 0.05985	-0.05997	-0.07877	-0.09639	-0.10291	-0.18797	-0.21944	 0.02018	 0.07450
118	-0.30726	-0.30893	 0.04599	 0.06188	-0.06524	-0.08647	-0.10229	-0.10946	-0.20384	-0.23837	 0.01559	 0.06902
119	-0.31456	-0.31141	 0.04654	 0.06327	-0.07047	-0.09419	-0.10767	-0.11547	-0.21961	-0.25722	 0.01191	 0.06491
120	-0.31975	-0.31229	 0.04652	 0.06401	-0.07565	-0.10188	-0.11247	-0.12088	-0.23524	-0.27591	 0.00887	 0.06072
121	-0.32279	-0.31186	 0.04593	 0.06409	-0.08073	-0.10947	-0.11664	-0.12560	-0.25066	-0.29437	 0.00615	 0.05001
122	-0.32379	-0.31011	 0.04466	 0.06343	-0.08604	-0.11750	-0.12033	-0.12985	-0.26698	-0.31391	 0.00316	 0.00299
123	-0.32283	-0.30733	 0.04292	 0.06215	-0.09079	-0.12474	-0.12296	-0.13294	-0.28182	-0.33166	-0.00025	-0.05314
124	-0.32028	-0.30347	 0.04064	 0.06025	-0.09533	-0.13173	-0.12474	-0.13514	-0.29632	-0.34897	-0.00503	-0.07691
