56	-6.38436	-6.57642	 0.92769	 0.94395	 0.38831	 0.37690	 1.38131	 1.37506	 0.56077	 0.58146	-0.06954	-0.05739	
57	-10.85267	-11.11130	 1.04507	 1.06282	 0.35169	 0.33690	 1.43529	 1.42766	 0.45495	 0.47860	-0.09603	-0.08073	
58	-14.57550	-14.90233	 1.15786	 1.17613	 0.31052	 0.29225	 1.47227	 1.46319	 0.34117	 0.36674	-0.12477	-0.10645	
59	-17.71875	-18.11682	 1.26927	 1.28722	 0.26420	 0.24223	 1.49471	 1.48385	 0.21733	 0.24393	-0.15616	-0.13484	
60	-20.27911	-20.75042	 1.37808	 1.39495	 0.21346	 0.18758	 1.50301	 1.48976	 0.08520	 0.11195	-0.18963	-0.16534	
61	-22.32464	-22.87302	 1.48693	 1.50197	 0.15692	 0.12678	 1.49738	 1.48048	-0.05877	-0.03267	-0.22593	-0.19861	
62	-23.71385	-24.33639	 1.58637	 1.59903	 0.09959	 0.06522	 1.47927	 1.45686	-0.20180	-0.17706	-0.26172	-0.23149	
63	-24.54924	-25.24489	 1.67911	 1.68888	 0.04028	 0.00162	 1.45007	 1.41891	-0.34701	-0.32419	-0.29766	-0.26448	
64	-24.85181	-25.61859	 1.76372	 1.77017	-0.02016	-0.06309	 1.41143	 1.36669	-0.49222	-0.47174	-0.33311	-0.29683	
65	-24.62983	-25.46743	 1.84141	 1.84408	-0.08320	-0.13043	 1.36161	 1.29906	-0.64061	-0.62286	-0.36868	-0.32897	
66	-23.93101	-24.83302	 1.90495	 1.90375	-0.14330	-0.19444	 1.29787	 1.22957	-0.77890	-0.76393	-0.40091	-0.35791	
67	-22.79083	-23.75280	 1.95601	 1.95080	-0.20194	-0.25669	 1.21730	 1.15935	-0.91038	-0.89829	-0.43008	-0.38456	
68	-21.24670	-22.26351	 1.99322	 1.98398	-0.25830	-0.31629	 1.13404	 1.07650	-1.03270	-1.02384	-0.45509	-0.40873	
69	-19.25864	-20.32636	 2.01585	 2.00249	-0.31355	-0.37448	 1.04299	 0.98128	-1.14735	-1.14303	-0.47577	-0.43075	
70	-17.01758	-18.12801	 2.02101	 2.00383	-0.36283	-0.42615	 0.94933	 0.88465	-1.24270	-1.24602	-0.49017	-0.44825	
71	-14.50053	-15.64707	 2.00880	 1.98804	-0.40753	-0.47283	 0.85105	 0.78416	-1.31918	-1.33783	-0.49903	-0.46120	
72	-11.75246	-12.92821	 1.97835	 1.95431	-0.44702	-0.51387	 0.74946	 0.68062	-1.37126	-1.42068	-0.50224	-0.46884	
73	-8.70297	-9.90151	 1.92667	 1.89960	-0.48192	-0.54992	 0.64164	 0.57081	-1.39599	-1.49766	-0.49946	-0.47050	
74	-5.62494	-6.83807	 1.85707	 1.82750	-0.50918	-0.57780	 0.53654	 0.46382	-1.41275	-1.53941	-0.49071	-0.46565	
75	-2.45374	-3.67420	 1.76773	 1.73611	-0.52987	-0.59854	 0.43098	 0.35645	-1.48570	-1.48438	-0.47585	-0.45422	
76	 0.76650	-0.45409	 1.65861	 1.62539	-0.54374	-0.61181	 0.32565	 0.24945	-1.59712	-1.34899	-0.45479	-0.43613	
77	 4.11669	 2.90344	 1.52456	 1.49017	-0.55080	-0.61742	 0.21712	 0.13944	-1.64050	-1.23565	-0.42634	-0.41027	
78	 7.30637	 6.10715	 1.37599	 1.34095	-0.55047	-0.61480	 0.11386	 0.03510	-1.60155	-1.16375	-0.39268	-0.37869	
79	 10.42099	 9.24235	 1.20902	 1.17376	-0.54323	-0.60429	 0.01215	-0.06726	-1.51577	-1.09660	-0.35306	-0.34076	
80	 13.42421	 12.27235	 1.02462	 0.98955	-0.52922	-0.58596	-0.08782	-0.16733	-1.40181	-1.01678	-0.30775	-0.29681	
81	 16.28243	 15.16313	 0.82401	 0.78948	-0.50866	-0.56000	-0.18599	-0.26496	-1.26714	-0.91865	-0.25712	-0.24725	
82	 19.16333	 18.08507	 0.59149	 0.55790	-0.47956	-0.52388	-0.28976	-0.36727	-1.10262	-0.79168	-0.19718	-0.18815	
83	 21.62632	 20.59117	 0.36206	 0.32962	-0.44648	-0.48320	-0.38448	-0.45970	-0.93387	-0.65521	-0.13710	-0.12861	
84	 23.86062	 22.87285	 0.12152	 0.09043	-0.40802	-0.43618	-0.47787	-0.54978	-0.75161	-0.50272	-0.07342	-0.06525	
85	 25.84602	 24.90934	-0.12808	-0.15766	-0.36471	-0.38344	-0.57025	-0.63776	-0.55784	-0.33641	-0.00686	 0.00117	
86	 27.56589	 26.68344	-0.38458	-0.41254	-0.31711	-0.32566	-0.66200	-0.72394	-0.35481	-0.15871	 0.06180	 0.06985	
87	 29.00729	 28.18161	-0.64569	-0.67196	-0.26587	-0.26363	-0.75350	-0.80870	-0.14496	 0.02778	 0.13171	 0.13991	
88	 30.16091	 29.39394	-0.90905	-0.93360	-0.21166	-0.19815	-0.84514	-0.89251	 0.06904	 0.22028	 0.20200	 0.21045	
89	 31.02109	 30.31418	-1.17227	-1.19510	-0.15518	-0.13009	-0.93725	-0.97590	 0.28442	 0.41593	 0.27173	 0.28052	
