# E (eV)   conductance(E)
   -4.378378378    0.998648828
   -4.369369369    0.998650727
   -4.360360360    0.998652612
   -4.351351351    0.998654483
   -4.342342342    0.998656341
   -4.333333333    0.998658185
   -4.324324324    0.998660016
   -4.315315315    0.998661834
   -4.306306306    0.998663640
   -4.297297297    0.998665432
   -4.288288288    0.998667212
   -4.279279279    0.998668981
   -4.270270270    0.998670737
   -4.261261261    0.998672481
   -4.252252252    0.998674213
   -4.243243243    0.998675934
   -4.234234234    0.998677644
   -4.225225225    0.998679343
   -4.216216216    0.998681031
   -4.207207207    0.998682708
   -4.198198198    0.998684374
   -4.189189189    0.998686030
   -4.180180180    0.998687676
   -4.171171171    0.998689312
   -4.162162162    0.998690938
   -4.153153153    0.998692554
   -4.144144144    0.998694160
   -4.135135135    0.998695757
   -4.126126126    0.998697344
   -4.117117117    0.998698922
   -4.108108108    0.998700491
   -4.099099099    0.998702051
   -4.090090090    0.998703602
   -4.081081081    0.998705144
   -4.072072072    0.998706678
   -4.063063063    0.998708202
   -4.054054054    0.998709718
   -4.045045045    0.998711224
   -4.036036036    0.998712722
   -4.027027027    0.998714211
   -4.018018018    0.998715690
   -4.009009009    0.998717160
   -4.000000000    0.998718621
   -3.990990991    0.998720071
   -3.981981982    0.998721511
   -3.972972973    0.998722940
   -3.963963964    0.998724357
   -3.954954955    0.998725761
   -3.945945946    0.998727151
   -3.936936937    0.998728525
   -3.927927928    0.998729881
   -3.918918919    0.998731216
   -3.909909910    0.998732527
   -3.900900901    0.998733809
   -3.891891892    0.998735056
   -3.882882883    0.998736259
   -3.873873874    0.998737405
   -3.864864865    0.998738477
   -3.855855856    0.998739451
   -3.846846847    0.998740287
   -3.837837838    0.998740926
   -3.828828829    0.998741270
   -3.819819820    0.998741146
   -3.810810811    0.998740234
   -3.801801802    0.998737868
   -3.792792793    0.998732473
   -3.783783784    0.998719499
   -3.774774775    0.998680804
   -3.765765766    0.998481143
   -3.756756757    0.987593012
   -3.747747748    0.004568867
   -3.738738739    0.967698345
   -3.729729730    0.998433305
   -3.720720721    0.998682023
   -3.711711712    0.998728479
   -3.702702703    0.998745441
   -3.693693694    0.998754044
   -3.684684685    0.998759379
   -3.675675676    0.998763169
   -3.666666667    0.998766129
   -3.657657658    0.998768601
   -3.648648649    0.998770769
   -3.639639640    0.998772734
   -3.630630631    0.998774560
   -3.621621622    0.998776287
   -3.612612613    0.998777941
   -3.603603604    0.998779540
   -3.594594595    0.998781098
   -3.585585586    0.998782624
   -3.576576577    0.998784123
   -3.567567568    0.998785602
   -3.558558559    0.998787064
   -3.549549550    0.998788512
   -3.540540541    0.998789948
   -3.531531532    0.998791375
   -3.522522523    0.998792794
   -3.513513514    0.998794206
   -3.504504505    0.998795612
   -3.495495495    0.998797013
   -3.486486486    0.998798409
   -3.477477477    0.998799802
   -3.468468468    0.998801191
   -3.459459459    0.998802577
   -3.450450450    0.998803960
   -3.441441441    0.998805342
   -3.432432432    0.998806720
   -3.423423423    0.998808097
   -3.414414414    0.998809472
   -3.405405405    0.998810846
   -3.396396396    0.998812218
   -3.387387387    0.998813588
   -3.378378378    0.998814957
   -3.369369369    0.998816324
   -3.360360360    0.998817691
   -3.351351351    0.998819056
   -3.342342342    0.998820419
   -3.333333333    0.998821782
   -3.324324324    0.998823143
   -3.315315315    0.998824503
   -3.306306306    0.998825862
   -3.297297297    0.998827219
   -3.288288288    0.998828575
   -3.279279279    0.998829930
   -3.270270270    0.998831283
   -3.261261261    0.998832635
   -3.252252252    0.998833985
   -3.243243243    0.998835333
   -3.234234234    0.998836680
   -3.225225225    0.998838025
   -3.216216216    0.998839368
   -3.207207207    0.998840710
   -3.198198198    0.998842049
   -3.189189189    0.998843386
   -3.180180180    0.998844721
   -3.171171171    0.998846053
   -3.162162162    0.998847383
   -3.153153153    0.998848711
   -3.144144144    0.998850036
   -3.135135135    0.998851358
   -3.126126126    0.998852677
   -3.117117117    0.998853993
   -3.108108108    0.998855306
   -3.099099099    0.998856615
   -3.090090090    0.998857921
   -3.081081081    0.998859224
   -3.072072072    0.998860522
   -3.063063063    0.998861817
   -3.054054054    0.998863107
   -3.045045045    0.998864394
   -3.036036036    0.998865676
   -3.027027027    0.998866953
   -3.018018018    0.998868226
   -3.009009009    0.998869494
   -3.000000000    0.998870757
   -2.990990991    0.998872014
   -2.981981982    0.998873266
   -2.972972973    0.998874512
   -2.963963964    0.998875753
   -2.954954955    0.998876988
   -2.945945946    0.998878216
   -2.936936937    0.998879438
   -2.927927928    0.998880653
   -2.918918919    0.998881862
   -2.909909910    0.998883063
   -2.900900901    0.998884258
   -2.891891892    0.998885444
   -2.882882883    0.998886624
   -2.873873874    0.998887795
   -2.864864865    0.998888958
   -2.855855856    0.998890113
   -2.846846847    0.998891259
   -2.837837838    0.998892396
   -2.828828829    0.998893525
   -2.819819820    0.998894644
   -2.810810811    0.998895753
   -2.801801802    0.998896853
   -2.792792793    0.998897943
   -2.783783784    0.998899022
   -2.774774775    0.998900091
   -2.765765766    0.998901149
   -2.756756757    0.998902196
   -2.747747748    0.998903232
   -2.738738739    0.998904255
   -2.729729730    0.998905267
   -2.720720721    0.998906267
   -2.711711712    0.998907255
   -2.702702703    0.998908229
   -2.693693694    0.998909191
   -2.684684685    0.998910139
   -2.675675676    0.998911073
   -2.666666667    0.998911993
   -2.657657658    0.998912900
   -2.648648649    0.998913791
   -2.639639640    0.998914667
   -2.630630631    0.998915529
   -2.621621622    0.998916374
   -2.612612613    0.998917204
   -2.603603604    0.998918017
   -2.594594595    0.998918814
   -2.585585586    0.998919593
   -2.576576577    0.998920356
   -2.567567568    0.998921100
   -2.558558559    0.998921826
   -2.549549550    0.998922534
   -2.540540541    0.998923223
   -2.531531532    0.998923892
   -2.522522523    0.998924542
   -2.513513514    0.998925172
   -2.504504505    0.998925781
   -2.495495495    0.998926369
   -2.486486486    0.998926935
   -2.477477477    0.998927480
   -2.468468468    0.998928002
   -2.459459459    0.998928502
   -2.450450450    0.998928978
   -2.441441441    0.998929430
   -2.432432432    0.998929858
   -2.423423423    0.998930261
   -2.414414414    0.998930639
   -2.405405405    0.998930990
   -2.396396396    0.998931316
   -2.387387387    0.998931614
   -2.378378378    0.998931884
   -2.369369369    0.998932127
   -2.360360360    0.998932340
   -2.351351351    0.998932524
   -2.342342342    0.998932678
   -2.333333333    0.998932801
   -2.324324324    0.998932893
   -2.315315315    0.998932952
   -2.306306306    0.998932979
   -2.297297297    0.998932972
   -2.288288288    0.998932930
   -2.279279279    0.998932854
   -2.270270270    0.998932741
   -2.261261261    0.998932591
   -2.252252252    0.998932404
   -2.243243243    0.998932178
   -2.234234234    0.998931913
   -2.225225225    0.998931607
   -2.216216216    0.998931260
   -2.207207207    0.998930870
   -2.198198198    0.998930436
   -2.189189189    0.998929959
   -2.180180180    0.998929435
   -2.171171171    0.998928864
   -2.162162162    0.998928246
   -2.153153153    0.998927578
   -2.144144144    0.998926859
   -2.135135135    0.998926089
   -2.126126126    0.998925265
   -2.117117117    0.998924386
   -2.108108108    0.998923451
   -2.099099099    0.998922458
   -2.090090090    0.998921405
   -2.081081081    0.998920292
   -2.072072072    0.998919115
   -2.063063063    0.998917874
   -2.054054054    0.998916566
   -2.045045045    0.998915189
   -2.036036036    0.998913741
   -2.027027027    0.998912221
   -2.018018018    0.998910625
   -2.009009009    0.998908952
   -2.000000000    0.998907199
   -1.990990991    0.998905363
   -1.981981982    0.998903441
   -1.972972973    0.998901432
   -1.963963964    0.998899331
   -1.954954955    0.998897136
   -1.945945946    0.998894844
   -1.936936937    0.998892450
   -1.927927928    0.998889952
   -1.918918919    0.998887345
   -1.909909910    0.998884626
   -1.900900901    0.998881790
   -1.891891892    0.998878832
   -1.882882883    0.998875749
   -1.873873874    0.998872535
   -1.864864865    0.998869185
   -1.855855856    0.998865693
   -1.846846847    0.998862054
   -1.837837838    0.998858260
   -1.828828829    0.998854306
   -1.819819820    0.998850185
   -1.810810811    0.998845888
   -1.801801802    0.998841408
   -1.792792793    0.998836737
   -1.783783784    0.998831865
   -1.774774775    0.998826783
   -1.765765766    0.998821480
   -1.756756757    0.998815946
   -1.747747748    0.998810168
   -1.738738739    0.998804133
   -1.729729730    0.998797829
   -1.720720721    0.998791239
   -1.711711712    0.998784349
   -1.702702703    0.998777140
   -1.693693694    0.998769595
   -1.684684685    0.998761693
   -1.675675676    0.998753412
   -1.666666667    0.998744728
   -1.657657658    0.998735616
   -1.648648649    0.998726047
   -1.639639640    0.998715990
   -1.630630631    0.998705410
   -1.621621622    0.998694271
   -1.612612613    0.998682530
   -1.603603604    0.998670142
   -1.594594595    0.998657056
   -1.585585586    0.998643216
   -1.576576577    0.998628559
   -1.567567568    0.998613013
   -1.558558559    0.998596499
   -1.549549550    0.998578927
   -1.540540541    0.998560196
   -1.531531532    0.998540189
   -1.522522523    0.998518774
   -1.513513514    0.998495797
   -1.504504505    0.998471083
   -1.495495495    0.998444424
   -1.486486486    0.998415579
   -1.477477477    0.998384263
   -1.468468468    0.998350134
   -1.459459459    0.998312785
   -1.450450450    0.998271716
   -1.441441441    0.998226317
   -1.432432432    0.998175828
   -1.423423423    0.998119288
   -1.414414414    0.998055462
   -1.405405405    0.997982736
   -1.396396396    0.997898945
   -1.387387387    0.997801115
   -1.378378378    0.997685017
   -1.369369369    0.997544400
   -1.360360360    0.997369543
   -1.351351351    0.997144309
   -1.342342342    0.996839381
   -1.333333333    0.996394083
   -1.324324324    0.995653375
   -1.315315315    0.994019365
   -1.306306306    0.981288599
   -1.297297297    0.001354712
   -1.288288288    0.000203560
   -1.279279279    0.000074747
   -1.270270270    0.000037493
   -1.261261261    0.000022098
   -1.252252252    0.000014381
   -1.243243243    0.000010010
   -1.234234234    0.000007315
   -1.225225225    0.000005547
   -1.216216216    0.000004331
   -1.207207207    0.000003461
   -1.198198198    0.000002821
   -1.189189189    0.000002336
   -1.180180180    0.000001962
   -1.171171171    0.000001667
   -1.162162162    0.000001432
   -1.153153153    0.000001241
   -1.144144144    0.000001085
   -1.135135135    0.000000955
   -1.126126126    0.000000846
   -1.117117117    0.000000754
   -1.108108108    0.000000676
   -1.099099099    0.000000609
   -1.090090090    0.000000551
   -1.081081081    0.000000500
   -1.072072072    0.000000456
   -1.063063063    0.000000417
   -1.054054054    0.000000383
   -1.045045045    0.000000353
   -1.036036036    0.000000326
   -1.027027027    0.000000302
   -1.018018018    0.000000281
   -1.009009009    0.000000261
   -1.000000000    0.000000244
   -0.990990991    0.000000228
   -0.981981982    0.000000214
   -0.972972973    0.000000201
   -0.963963964    0.000000189
   -0.954954955    0.000000178
   -0.945945946    0.000000168
   -0.936936937    0.000000159
   -0.927927928    0.000000150
   -0.918918919    0.000000143
   -0.909909910    0.000000136
   -0.900900901    0.000000129
   -0.891891892    0.000000123
   -0.882882883    0.000000117
   -0.873873874    0.000000112
   -0.864864865    0.000000107
   -0.855855856    0.000000102
   -0.846846847    0.000000098
   -0.837837838    0.000000094
   -0.828828829    0.000000091
   -0.819819820    0.000000087
   -0.810810811    0.000000084
   -0.801801802    0.000000081
   -0.792792793    0.000000078
   -0.783783784    0.000000076
   -0.774774775    0.000000073
   -0.765765766    0.000000071
   -0.756756757    0.000000069
   -0.747747748    0.000000067
   -0.738738739    0.000000065
   -0.729729730    0.000000064
   -0.720720721    0.000000062
   -0.711711712    0.000000061
   -0.702702703    0.000000060
   -0.693693694    0.000000059
   -0.684684685    0.000000058
   -0.675675676    0.000000058
   -0.666666667    0.000000058
   -0.657657658    0.000000058
   -0.648648649    0.000000058
   -0.639639640    0.000000059
   -0.630630631    0.000000060
   -0.621621622    0.000000061
   -0.612612613    0.000000063
   -0.603603604    0.000000066
   -0.594594595    0.000000070
   -0.585585586    0.000000074
   -0.576576577    0.000000080
   -0.567567568    0.000000087
   -0.558558559    0.000000096
   -0.549549550    0.000000107
   -0.540540541    0.000000122
   -0.531531532    0.000000140
   -0.522522523    0.000000164
   -0.513513514    0.000000194
   -0.504504505    0.000000234
   -0.495495495    0.000000286
   -0.486486486    0.000000356
   -0.477477477    0.000000451
   -0.468468468    0.000000581
   -0.459459459    0.000000764
   -0.450450450    0.000001028
   -0.441441441    0.000001418
   -0.432432432    0.000002016
   -0.423423423    0.000002971
   -0.414414414    0.000004584
