    34    -9.82312656    -9.82312647    -4.48225186    -4.48105844    -3.99850941    -3.99580586    -3.09050935    -3.08807032    -1.84193590    -1.84159966    -1.31765642    -1.31706370     5.53374089     5.53374470     5.56574081     5.56574089     5.70048868     5.70049228
    35    -9.78812550    -9.78812541    -4.49763638    -4.49637054    -3.98351333    -3.98094603    -3.07638397    -3.07407199    -1.86083909    -1.86050673    -1.30852186    -1.30784359     5.53302276     5.53302840     5.56526286     5.56526297     5.70420602     5.70421134
    36    -9.74841198    -9.74841189    -4.51361797    -4.51229997    -3.96823628    -3.96588797    -3.06158273    -3.05947981    -1.87986880    -1.87955189    -1.29912616    -1.29837025     5.53236983     5.53237783     5.56450678     5.56450695     5.70418482     5.70419236
    37    -9.70450488    -9.70450480    -4.53018500    -4.52883596    -3.95270610    -3.95064513    -3.04611254    -3.04428815    -1.89897988    -1.89868954    -1.28946947    -1.28864704     5.53182166     5.53183262     5.56359468     5.56359491     5.70072984     5.70074019
    38    -9.65696063    -9.65696055    -4.54732345    -4.54596517    -3.93695189    -3.93523040    -3.02998187    -3.02849064    -1.91812500    -1.91787151    -1.27955211    -1.27867715     5.53141186     5.53142645     5.56261205     5.56261236     5.69422984     5.69424362
    39    -9.60635076    -9.60635070    -4.56501729    -4.56367184    -3.92100381    -3.91965650    -3.01320033    -3.01208028    -1.93725470    -1.93704707    -1.26937465    -1.26846354     5.53116568     5.53118462     5.56160853     5.56160895     5.68513816     5.68515605
    40    -9.55324162    -9.55324158    -4.58324867    -4.58193797    -3.90489283    -3.90393630    -2.99577827    -2.99504965    -1.95631741    -1.95616303    -1.25893796    -1.25800886     5.53109829     5.53112232     5.56060115     5.56060171     5.67395205     5.67397477
    41    -9.49817663    -9.49817661    -4.60199835    -4.60074359    -3.88865052    -3.88808325    -2.97772642    -2.97739112    -1.97525952    -1.97516371    -1.24824325    -1.24731544     5.53121381     5.53124368     5.55957957     5.55958030     5.66119168     5.66121998
    42    -9.44166160    -9.44166159    -4.62124592    -4.62006696    -3.87230891    -3.87211185    -2.95909714    -2.95905553    -1.99402541    -1.99399106    -1.23729213    -1.23638526     5.53150508     5.53154157     5.55851273     5.55851368     5.64737962     5.64741425
    43    -9.38415322    -9.38415318    -4.64097017    -4.63988491    -3.85603804    -3.85590032    -2.94016055    -2.93977603    -2.01258463    -2.01255744    -1.22608659    -1.22521993     5.53195432     5.53199819     5.55735630     5.55735755     5.63302170     5.63306338
