Theta(deg) =   0.000000 , Phi(deg) =   0.000000 , Number of orbits =     7 , (Angstrom^-1) units
Slice   =    186 , Freq(kT, average of all copies)              =   0.3115
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3142
Points  =     43
  1.160521E+01  8.274529E+00  2.824529E+00
  1.159098E+01  8.276219E+00  2.824529E+00
  1.156266E+01  8.291030E+00  2.824529E+00
  1.154700E+01  8.302852E+00  2.824529E+00
  1.153434E+01  8.313350E+00  2.824529E+00
  1.150601E+01  8.330092E+00  2.824529E+00
  1.149703E+01  8.331175E+00  2.824529E+00
  1.147769E+01  8.332920E+00  2.824529E+00
  1.144937E+01  8.355085E+00  2.824529E+00
  1.144067E+01  8.359498E+00  2.824529E+00
  1.142104E+01  8.370126E+00  2.824529E+00
  1.139272E+01  8.373703E+00  2.824529E+00
  1.136979E+01  8.387821E+00  2.824529E+00
  1.136440E+01  8.390979E+00  2.824529E+00
  1.133607E+01  8.392662E+00  2.824529E+00
  1.130775E+01  8.398348E+00  2.824529E+00
  1.128159E+01  8.416145E+00  2.824529E+00
  1.127943E+01  8.417449E+00  2.824529E+00
  1.127590E+01  8.416145E+00  2.824529E+00
  1.125110E+01  8.401494E+00  2.824529E+00
  1.122278E+01  8.397905E+00  2.824529E+00
  1.121046E+01  8.387821E+00  2.824529E+00
  1.120332E+01  8.359498E+00  2.824529E+00
  1.122278E+01  8.351656E+00  2.824529E+00
  1.125110E+01  8.332454E+00  2.824529E+00
  1.125173E+01  8.331175E+00  2.824529E+00
  1.127943E+01  8.304879E+00  2.824529E+00
  1.128247E+01  8.302852E+00  2.824529E+00
  1.130775E+01  8.288048E+00  2.824529E+00
  1.133607E+01  8.282553E+00  2.824529E+00
  1.134465E+01  8.274529E+00  2.824529E+00
  1.136440E+01  8.259244E+00  2.824529E+00
  1.138466E+01  8.246206E+00  2.824529E+00
  1.139272E+01  8.240190E+00  2.824529E+00
  1.142104E+01  8.236312E+00  2.824529E+00
  1.144521E+01  8.217883E+00  2.824529E+00
  1.144937E+01  8.214900E+00  2.824529E+00
